ก.	k @@ 
แรง	r xx ng^ 
แรงกระตุ้น	r xx ng^ kr a t u n^ 
แรงกล้า	r xx ng^ kl aa 
แรงงาน	r xx ng^ ng aa n^ 
แรงจูงใจ	r xx ng^ c uu ng^ c a j^ 
แรงดัน	r xx ng^ d a n^ 
แรด	r xx t^ 
แลก	l xx k^ 
แลกเปลี่ยน	l xx k^ pl iia n^ 
และ	l x 
แล้ง	l xx ng^ 
แล้ว	l xx w^ 
แล้วมา	l xx w^ m aa 
แล้วแต่	l xx w^ t xx 
แวดล้อม	w xx t^ l @@ m^ 
แวดวง	w xx t^ w o ng^ 
แว่น	w xx n^ 
แสง	s xx ng^ 
แสดง	s a d xx ng^ 
แสน	s xx n^ 
แสลง	s a l xx ng^ 
แสวง	s a w xx ng^ 
แสวงหา	s a w xx ng^ h aa 
แหบ	h xx p^ 
แหลม	l xx m^ 
แหละ	l x 
แหล่ง	l x ng^ 
แหล่ง	l xx ng^ 
แหล่งข่าว	l xx ng^ kh aa w^ 
แห่	h xx 
แห่ง	h x ng^ 
แห่ง	h xx ng^ 
แห่งชาติ	h x ng^ ch aa t^ 
แห่งชาติ	h xx ng^ ch aa t^ 
แห้งแล้ง	h xx ng^ l xx ng^ 
แอบ	z xx p^ 
แอบแฝง	z xx p^ f xx ng^ 
แอฟริกัน	z x p^ fr i k a n^ 
แอมป์	z xx m^ 
แอร์	z xx 
แอสเซมบลี	z xx t^ s e m^ bl ii 
แออัด	z xx z a t^ 
แฮ	h xx 
โกรธ	kr oo t^ 
โกลน	kl oo n^ 
โกวิท	k oo w i t^ 
โขง	kh oo ng^ 
โคบอล	kh oo b @ l^ 
โคบอล	kh oo b @ n^ 
โคบอล	kh oo b @@ n^ 
โครง	khr oo ng^ 
โครงการ	khr oo ng^ k aa n^ 
โครงสร้าง	khr oo ng^ s aa ng^ 
โครงเรื่อง	khr oo ng^ r vva ng^ 
โควตา	kh oo t aa 
โควตา	khw oo t aa 
โค่น	kh oo n^ 
โง่	ng oo 
โจ	c oo 
โจมตี	c oo m^ t ii 
โจร	c oo n^ 
โจวเอินไหล	c oo w^ z qq n^ l a j^ 
โจฬะ	c oo l a 
โฉม	ch oo m^ 
โฉมหน้า	ch oo m^ n aa 
โชกโชน	ch oo k^ ch oo n^ 
โชค	ch oo k^ 
โชคดี	ch oo k^ d ii 
โซเวียต	s oo w iia t^ 
โดดเดี่ยว	d oo t^ d iia w^ 
โดดเด่น	d oo t^ d e n^ 
โดน	d oo n^ 
โดย	d oo j^ 
โดยมาก	d oo j^ m aa k^ 
โดยย่อ	d oo j^ j @@ 
โดยรวม	d oo j^ r uua m^ 
โดยเฉพาะ	d oo j^ ch a ph @ 
โดยเฉพาะอย่างยิ่ง	d oo j^ ch a ph @ j aa ng^ j i ng^ 
โดยเร็ว	d oo j^ r e w^ 
โต	t oo 
โตเกียว	t oo k iia w^ 
โต้	t oo 
โต้ตอบ	t oo t @@ p^ 
โต้แย้ง	t oo j xx ng^ 
โต๊ะ	t o 
โท	th oo 
โทรทัศน์	th oo r a th a t^ 
โทรศัพท์	th oo r a s a p^ 
โทษ	th oo t^ 
โนเบล	n oo b e w^ 
โน้น	n oo n^ 
โน้มน้าว	n oo m^ n aa w^ 
โน้มเอียง	n oo m^ z iia ng^ 
โบราณ	b oo r aa n^ 
โบราณกาล	b oo r aa n^ n a k aa n^ 
โบราณสถาน	b oo r aa n^ n a s a th aa n^ 
โปรดเกล้า	pr oo t^ kl aa w^ 
โปรแกรม	pr oo kr x m^ 
โปรแกรมเมอร์	pr oo kr x m^ m qq 
โผงผาง	ph oo ng^ ph aa ng^ 
โพลง	phl oo ng^ 
โพลีเนเชียน	ph oo l ii n ee ch iia n^ 
โภคภัณฑ์	ph oo k^ k a ph a n^ 
โภชนาการ	ph oo t^ ch a n aa k aa n^ 
โมฆะ	m oo kh a 
โมริ	m oo r i 
โมหะ	m oo h a 
โมโห	m oo h oo 
โยกย้าย	j oo k^ j aa j^ 
โยง	j oo ng^ 
โยงใย	j oo ng^ j a j^ 
โยธา	j oo th aa 
โรการ์ด	r oo k aa t^ 
โรค	r oo k^ 
โรคภัยไข้เจ็บ	r oo k^ ph a j^ kh a j^ c e p^ 
โรคเอดส์	r oo k^ z ee t^ 
โรง	r oo ng^ 
โรงงาน	r oo ng^ ng aa n^ 
โรงพยาบาล	r oo ng^ ph a j aa b aa n^ 
โรงเรียน	r oo ng^ r iia n^ 
โรงเรือน	r oo ng^ r vva n^ 
โรงไฟฟ้า	r oo ng^ f a j^ f aa 
โรจนนิล	r oo t^ c a n a n i n^ 
โรจนเสถียร	r oo t^ c a n a s a th iia n^ 
โรจน์	r oo t^ 
โรมัน	r oo m a n^ 
โรแมนติก	r oo m xx n^ t i k^ 
โลก	l oo k^ 
โลกทัศน์	l oo k^ k a th a t^ 
โลกุตรภูมิ	l oo k u t^ t a r a ph uu m^ 
โลหะ	l oo h a 
โลหิต	l oo h i t^ 
โศก	s oo k^ 
โศกนาฏกรรม	s oo k^ k a n aa t^ t a k a m^ 
โสด	s oo t^ 
โสต	s oo t^ 
โสตสัมผัส	s oo t^ s a m^ ph a t^ 
โสภา	s oo ph aa 
โสร่ง	s a r oo ng^ 
โสเภณี	s oo ph ee n ii 
โหงวเฮ้ง	ng oo w^ h e ng^ 
โหม	h oo m^ 
โหราศาสตร์	h oo r aa s aa t^ 
โหว่	w oo 
โอกาส	z oo k aa t^ 
โอน	z oo n^ 
โอบอุ้ม	z oo p^ z u m^ 
โอวาท	z oo w aa t^ 
โอโซน	z oo s oo n^ 
โอ้อวด	z oo z uua t^ 
โอ๊ค	z oo k^ 
โฮปเวลล์	h oo p^ w e w^ 
ใกล้	kl a j^ 
ใกล้ชิด	kl a j^ ch i t^ 
ใกล้เคียง	kl a j^ kh iia ng^ 
ใคร	khr a j^ 
ใคร่	khr a j^ 
ใคร่รู้	khr a j^ r uu 
ใจ	c a j^ 
ใจกว้าง	c a j^ kw aa ng^ 
ใจความ	c a j^ khw aa m^ 
ใจหาย	c a j^ h aa j^ 
ใจเดียว	c a j^ d iia w^ 
ใช่	ch a j^ 
ใช่ไหม	ch a j^ m a j^ 
ใช้	ch a j^ 
ใช้การ	ch a j^ k aa n^ 
ใช้สอย	ch a j^ s @ j^ 
ใช้สอย	ch a j^ s @@ j^ 
ใช้ได้	ch a j^ d aa j^ 
ใด	d a j^ 
ใต้	t a j^ 
ใต้	t aa j^ 
ใน	n a j^ 
ในเมื่อ	n a j^ m vva 
ใบ	b a j^ 
ใบหน้า	b a j^ n aa 
ใบอนุญาต	b a j^ z a n u j aa t^ 
ใบไม้	b a j^ m a j^ 
ใฝ่	f a j^ 
ใฝ่ฝัน	f a j^ f a n^ 
ใย	j a j^ 
ใส	s a j^ 
ใส่	s a j^ 
ใส่ใจ	s a j^ c a j^ 
ใหญ่	j a j^ 
ใหญ่หลวง	j a j^ l uua ng^ 
ใหญ่โต	j a j^ t oo 
ใหม่	m a j^ 
ให้	h a j^ 
ให้การ	h a j^ k aa n^ 
ให้เปล่า	h a j^ pl a w^ 
ให้แก่	h a j^ k xx 
ไกล	kl a j^ 
ไก่	k a j^ 
ไขว่คว้า	khw a j^ khw aa 
ไขว้เขว	khw a j^ khw ee 
ไข้	kh a j^ 
ไซนัส	s a j^ n a t^ 
ได้	d aa j^ 
ได้มา	d aa j^ m aa 
ได้ยิน	d aa j^ j i n^ 
ได้แก่	d aa j^ k xx 
ไต	t a j^ 
ไตรมาส	tr a j^ m aa t^ 
ไต่เต้า	t a j^ t a w^ 
ไทย	th a j^ 
ไป	p a j^ 
ไพฑูรย์	ph a j^ th uu n^ 
ไพศาล	ph a j^ s aa n^ 
ไพ่	ph a j^ 
ไฟ	f a j^ 
ไฟฟ้า	f a j^ f aa 
ไมตรี	m a j^ tr ii 
ไมโคร	m a j^ khr oo 
ไม่	m a j^ 
ไม่ค่อย	m a j^ kh @ j^ 
ไม่ค่อย	m a j^ kh @@ j^ 
ไม่ชอบมาพากล	m a j^ ch @@ p^ m aa ph aa k o n^ 
ไม่ว่า	m a j^ w aa 
ไม้	m a j^ 
ไม้	m aa j^ 
ไม้ดอก	m aa j^ d @@ k^ 
ไม้ประดับ	m aa j^ pr a d a p^ 
ไยดี	j a j^ d ii 
ไร่	r a j^ 
ไร้	r a j^ 
ไล่	l a j^ 
ไวรัส	w a j^ r a t^ 
ไว้	w a j^ 
ไว้วางใจ	w a j^ w aa ng^ c a j^ 
ไว้ใจ	w a j^ c a j^ 
ไสยศาสตร์	s a j^ j a s aa t^ 
ไหน	n a j^ 
ไหม	m a j^ 
ไหล	l a j^ 
ไหลบ่า	l a j^ b aa 
ไหว	w a j^ 
ไหว้	w a j^ 
ไหว้	w aa j^ 
ไอ้	z a j^ 
